subj,sport,gender,orientation,age,education,race,hispanic_or_latino,Running,CrossFit,Rock climbing,Yoga/Pilates,Cycling,Weightlifting,Hiking,Swimming,Other (please specify),duration,frequency,percent women,current_frame_size,ideal_frame_size,diff,current_thinness,current_tone,current_size
2052,CrossFit,Female,5-Attracted to men exclusively,52,16,"White, Caucasian",No,Yes,Yes,No,Yes,No,No,No,No,,1-3 years,Four days a week,About 50%,8,4,-4,1,3,4
2053,CrossFit,Female,3-Attracted to women and men equally,30,18,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,1-3 years,Four days a week,About 75%,7,4,-3,1,3,3
2054,CrossFit,Female,6-Attracted to neither men nor women,44,18,"White, Caucasian",No,No,Yes,No,No,No,Yes,No,No,,Less than 1 year,Four days a week,About 50%,8,6,-2,1,1,2
2055,CrossFit,Female,2-Attracted to women more than men,28,18,"White, Caucasian",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Rugby,1-3 years,Four days a week,About 50%,6,5,-1,2,4,4
2056,CrossFit,Female,5-Attracted to men exclusively,29,18,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,No,No,,1-3 years,Four days a week,About 50%,4,2,-2,3,4,4
2057,CrossFit,Female,5-Attracted to men exclusively,24,17,"White, Caucasian",Yes,Yes,Yes,No,Yes,No,Yes,No,No,,1-3 years,Four days a week,I do not do CrossFit with other people.,5,3,-2,1,3,4
2058,CrossFit,Female,5-Attracted to men exclusively,33,19,"White, Caucasian",No,Yes,Yes,No,Yes,No,No,No,No,,1-3 years,Three days a week,About 50%,5,2,-3,1,1,2
2059,CrossFit,Female,5-Attracted to men exclusively,35,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,Yes,,1-3 years,Four days a week,About 25%,6,4,-2,1,2,4
2060,CrossFit,Female,3-Attracted to women and men equally,24,16,Asian,No,No,Yes,Yes,No,No,Yes,No,No,,Less than 1 year,Five days a week,About 50%,4,3,-1,2,2,3
2061,CrossFit,Female,4-Attracted to men more than women,30,20,"White, Caucasian",Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Less than 1 year,Three days a week,About 75%,5,4,-1,2,3,3
2062,CrossFit,Female,4-Attracted to men more than women,37,20,"White, Caucasian",No,No,Yes,No,No,Yes,Yes,Yes,Yes,,4-6 years,Four days a week,About 50%,7,5,-2,1,1,3
2063,CrossFit,Female,5-Attracted to men exclusively,30,18,"White, Caucasian",No,Yes,Yes,No,Yes,No,No,No,No,,Less than 1 year,Three days a week,About 50%,5,4,-1,2,2,2
2064,CrossFit,Female,5-Attracted to men exclusively,22,16,Asian,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Tennis,Less than 1 year,Four days a week,About 75%,7,5,-2,1,1,4
2065,CrossFit,Female,5-Attracted to men exclusively,19,13,Asian,No,Yes,Yes,No,Yes,No,No,No,No,,1-3 years,Four days a week,About 50%,4,2,-2,2,3,4
2066,CrossFit,Female,5-Attracted to men exclusively,24,16,Other,Yes,No,Yes,No,No,No,Yes,Yes,No,,Less than 1 year,Four days a week,I do not do CrossFit with other people.,4,3,-1,2,2,4
2067,CrossFit,Female,5-Attracted to men exclusively,23,16,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,,1-3 years,Three days a week,Less than 25%,4,3,-1,1,3,3
2068,CrossFit,Female,5-Attracted to men exclusively,28,16,"White, Caucasian",No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,1-3 years,Five days a week,About 50%,7,4,-3,1,3,4
2069,CrossFit,Female,4-Attracted to men more than women,22,15,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,,Less than 1 year,Three days a week,About 75%,6,3,-3,2,2,2
2070,CrossFit,Female,1-Attracted to women exclusively,23,16,"White, Caucasian",No,No,Yes,No,No,No,Yes,No,No,Martial arts,Less than 1 year,Five days a week,About 50%,2,2,0,4,4,3
2071,CrossFit,Female,4-Attracted to men more than women,34,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,Yes,Yes,,1-3 years,Five days a week,About 50%,3,3,0,4,3,4
2072,CrossFit,Female,3-Attracted to women and men equally,19,12,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,No,Yes,,4-6 years,Four days a week,About 25%,5,5,0,2,3,4
2073,CrossFit,Female,5-Attracted to men exclusively,26,20,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,1-3 years,Five days a week,About 50%,5,4,-1,1,3,3
2074,CrossFit,Female,4-Attracted to men more than women,31,16,"White, Caucasian",No,No,Yes,No,Yes,No,Yes,No,No,,1-3 years,Three days a week,About 50%,5,2,-3,1,1,2
2075,CrossFit,Female,5-Attracted to men exclusively,24,15,"White, Caucasian",No,Yes,Yes,Yes,No,No,Yes,No,Yes,,1-3 years,Five days a week,About 50%,4,4,0,1,3,3
2076,CrossFit,Female,1-Attracted to women exclusively,40,18,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,Yes,No,rugby,4-6 years,Five days a week,About 75%,6,5,-1,1,5,5
2077,CrossFit,Female,5-Attracted to men exclusively,32,16,"White, Caucasian",No,No,Yes,No,No,No,Yes,No,No,Rowing (erg),Less than 1 year,Five days a week,About 50%,6,6,0,1,3,3
2078,CrossFit,Female,5-Attracted to men exclusively,36,20,"Black, African American",No,Yes,Yes,No,No,No,Yes,No,No,,4-6 years,Three days a week,About 50%,8,7,-1,1,3,5
2079,CrossFit,Female,5-Attracted to men exclusively,27,16,"White, Caucasian",No,No,Yes,No,No,No,Yes,Yes,No,,1-3 years,Five days a week,About 50%,7,5,-2,2,3,5
2080,CrossFit,Female,4-Attracted to men more than women,30,18,"White, Caucasian",No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,1-3 years,Four days a week,About 25%,3,2,-1,1,1,3
2081,CrossFit,Female,4-Attracted to men more than women,33,22,"White, Caucasian",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,4-6 years,Four days a week,About 50%,3,2,-1,3,2,3
2082,CrossFit,Female,5-Attracted to men exclusively,27,14,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,No,No,,1-3 years,Four days a week,About 25%,8,5,-3,1,1,3
2083,CrossFit,Female,5-Attracted to men exclusively,29,16,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,,4-6 years,Six days a week,About 50%,5,4,-1,2,4,4
2084,CrossFit,Female,1-Attracted to women exclusively,44,16,"White, Caucasian",No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,4-6 years,Four days a week,About 50%,4,3,-1,3,3,3
2085,CrossFit,Female,5-Attracted to men exclusively,31,18,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,1-3 years,Five days a week,About 50%,6,4,-2,1,1,4
2086,CrossFit,Female,5-Attracted to men exclusively,38,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,1-3 years,Three days a week,About 75%,7,7,0,1,3,5
2087,CrossFit,Female,5-Attracted to men exclusively,57,14,"White, Caucasian",No,No,Yes,No,No,Yes,No,Yes,No,Tennis,4-6 years,Four days a week,About 50%,5,4,-1,1,4,3
2088,CrossFit,Female,2-Attracted to women more than men,31,20,"White, Caucasian",No,No,Yes,No,Yes,No,No,No,No,,4-6 years,Three days a week,About 50%,4,3,-1,2,3,2
2089,CrossFit,Female,5-Attracted to men exclusively,41,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,Less than 1 year,Four days a week,About 50%,8,4,-4,1,1,4
2090,CrossFit,Female,2-Attracted to women more than men,38,16,"White, Caucasian",Yes,Yes,Yes,No,No,No,Yes,No,No,,1-3 years,Four days a week,Less than 25%,7,6,-1,1,3,5
2091,CrossFit,Female,4-Attracted to men more than women,33,22,Other,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,1-3 years,Four days a week,About 50%,8,7,-1,1,3,4
2092,CrossFit,Female,5-Attracted to men exclusively,39,18,"White, Caucasian",No,No,Yes,No,No,No,Yes,No,No,,1-3 years,Six days a week,About 50%,7,5,-2,1,1,3
2093,CrossFit,Female,5-Attracted to men exclusively,39,16,Other,No,No,Yes,No,No,Yes,Yes,No,No,,Less than 1 year,Three days a week,About 50%,8,6,-2,1,1,4
2094,CrossFit,Female,2-Attracted to women more than men,31,18,"White, Caucasian",No,No,Yes,Yes,No,Yes,Yes,Yes,No,,4-6 years,Five days a week,About 50%,8,5,-3,1,3,4
2095,CrossFit,Female,5-Attracted to men exclusively,32,19,Other,Yes,No,Yes,No,No,No,Yes,No,No,,1-3 years,Three days a week,About 50%,8,5,-3,1,2,3
2096,CrossFit,Female,5-Attracted to men exclusively,43,17,"White, Caucasian",No,No,Yes,No,Yes,No,Yes,No,No,"Walking, rowing",1-3 years,Five days a week,About 50%,8,5,-3,1,1,3
2097,CrossFit,Female,5-Attracted to men exclusively,29,14,"White, Caucasian",No,No,Yes,No,Yes,No,Yes,Yes,No,Hockey,1-3 years,Two days a week,About 75%,6,4,-2,1,2,3
2098,CrossFit,Female,5-Attracted to men exclusively,36,16,"White, Caucasian",No,No,Yes,Yes,Yes,Yes,No,Yes,No,,1-3 years,Five days a week,About 25%,5,5,0,1,3,4
2099,CrossFit,Female,5-Attracted to men exclusively,38,18,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,1-3 years,Four days a week,About 50%,3,5,2,2,3,3
2100,CrossFit,Female,5-Attracted to men exclusively,33,20,"White, Caucasian",No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,1-3 years,Four days a week,About 50%,4,4,0,5,3,3
2101,CrossFit,Female,2-Attracted to women more than men,45,18,"White, Caucasian",No,No,Yes,No,Yes,No,Yes,Yes,Yes,ice hockey,4-6 years,Three days a week,About 75%,5,4,-1,1,3,3
2102,CrossFit,Female,2-Attracted to women more than men,34,21,"White, Caucasian",No,Yes,Yes,No,No,No,No,Yes,No,,1-3 years,Three days a week,About 50%,6,5,-1,1,3,3
2103,CrossFit,Female,5-Attracted to men exclusively,45,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,Yes,No,,4-6 years,Five days a week,About 50%,5,4,-1,2,4,3
2104,CrossFit,Female,5-Attracted to men exclusively,40,20,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,Yes,Yes,,1-3 years,Five days a week,About 50%,6,5,-1,1,2,2
2105,CrossFit,Female,5-Attracted to men exclusively,35,16,"White, Caucasian",No,No,Yes,No,Yes,No,Yes,Yes,No,,1-3 years,Three days a week,About 75%,6,4,-2,1,2,3
2106,CrossFit,Female,5-Attracted to men exclusively,31,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,1-3 years,Four days a week,About 50%,8,5,-3,1,2,3
2107,CrossFit,Female,5-Attracted to men exclusively,40,22,Asian,No,Yes,Yes,No,No,No,Yes,No,No,,1-3 years,Two days a week,About 50%,5,3,-2,2,2,3
2108,CrossFit,Female,5-Attracted to men exclusively,55,17,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,,4-6 years,Five days a week,About 50%,7,5,-2,1,3,3
2109,CrossFit,Female,5-Attracted to men exclusively,33,19,Asian,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1-3 years,Five days a week,About 50%,8,8,0,1,1,5
2110,CrossFit,Female,5-Attracted to men exclusively,30,16,"White, Caucasian",No,No,Yes,No,No,No,Yes,No,No,,Less than 1 year,Four days a week,About 25%,7,3,-4,1,1,3
2111,CrossFit,Female,5-Attracted to men exclusively,29,18,"White, Caucasian",No,No,Yes,No,No,No,Yes,No,No,,4-6 years,Four days a week,About 50%,5,2,-3,1,1,2
2112,CrossFit,Female,5-Attracted to men exclusively,45,22,Other,No,No,Yes,No,No,No,Yes,No,No,kettlebell sport,4-6 years,Five days a week,About 50%,7,7,0,1,1,4
2113,CrossFit,Female,5-Attracted to men exclusively,43,22,"White, Caucasian",No,No,Yes,Yes,No,No,Yes,Yes,No,,4-6 years,Five days a week,About 75%,6,5,-1,1,3,4
2114,CrossFit,Female,5-Attracted to men exclusively,27,15,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,Yes,No,,4-6 years,Five days a week,About 50%,4,4,0,2,3,4
2115,CrossFit,Female,3-Attracted to women and men equally,36,16,Asian,No,No,Yes,No,No,No,Yes,Yes,No,,4-6 years,Four days a week,About 50%,8,6,-2,1,1,3
2116,CrossFit,Female,5-Attracted to men exclusively,42,21,"White, Caucasian",Yes,Yes,Yes,No,No,No,No,Yes,No,,1-3 years,Five days a week,About 50%,5,4,-1,2,2,2
2117,CrossFit,Female,5-Attracted to men exclusively,24,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,1-3 years,Five days a week,About 50%,6,5,-1,1,3,3
2118,CrossFit,Female,5-Attracted to men exclusively,27,17,"White, Caucasian",No,No,Yes,No,No,No,Yes,Yes,No,,4-6 years,Five days a week,About 50%,7,3,-4,1,1,1
2119,CrossFit,Female,5-Attracted to men exclusively,43,16,"White, Caucasian",No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,4-6 years,Four days a week,About 50%,5,5,0,1,1,3
2120,CrossFit,Female,5-Attracted to men exclusively,48,16,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,"Paddleboarding, skiing",1-3 years,Five days a week,About 50%,6,4,-2,2,3,3
2121,CrossFit,Female,5-Attracted to men exclusively,52,16,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,4-6 years,Five days a week,About 75%,3,3,0,1,3,3
2122,CrossFit,Female,5-Attracted to men exclusively,33,16,"White, Caucasian",No,No,Yes,No,No,No,Yes,No,No,,1-3 years,Four days a week,About 50%,8,7,-1,1,2,3
2123,CrossFit,Female,5-Attracted to men exclusively,24,16,"Black, African American",Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,1-3 years,Five days a week,About 50%,4,4,0,1,4,5
2124,CrossFit,Female,5-Attracted to men exclusively,32,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,4-6 years,Four days a week,About 50%,5,3,-2,1,3,3
2125,CrossFit,Female,5-Attracted to men exclusively,36,16,"White, Caucasian",No,No,Yes,No,No,No,Yes,Yes,No,,4-6 years,Four days a week,About 50%,6,6,0,2,4,4
2126,CrossFit,Female,4-Attracted to men more than women,33,18,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,Yes,No,,1-3 years,Three days a week,About 75%,7,5,-2,1,3,3
2127,CrossFit,Female,1-Attracted to women exclusively,23,16,Asian,No,Yes,Yes,No,Yes,No,Yes,No,No,,4-6 years,Five days a week,About 50%,3,2,-1,2,4,3
2128,CrossFit,Female,5-Attracted to men exclusively,32,16,"White, Caucasian",No,No,Yes,No,No,No,Yes,Yes,No,,4-6 years,Four days a week,About 50%,7,5,-2,1,3,4
2129,CrossFit,Female,5-Attracted to men exclusively,34,19,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,No,Yes,No,skiing,1-3 years,Three days a week,About 50%,6,5,-1,1,3,3
2130,CrossFit,Female,4-Attracted to men more than women,32,21,"White, Caucasian",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Ultimate Frisbee,1-3 years,Three days a week,About 50%,7,5,-2,1,2,3
2131,CrossFit,Female,5-Attracted to men exclusively,29,18,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,Yes,No,,1-3 years,Two days a week,About 25%,6,4,-2,1,3,2
2132,CrossFit,Female,2-Attracted to women more than men,34,18,"White, Caucasian",No,No,Yes,No,No,No,Yes,Yes,No,,1-3 years,Four days a week,About 50%,6,5,-1,1,2,4
2133,CrossFit,Female,5-Attracted to men exclusively,32,19,"White, Caucasian",No,No,Yes,No,No,Yes,No,Yes,Yes,,4-6 years,Three days a week,About 50%,5,4,-1,1,2,2
2134,CrossFit,Female,5-Attracted to men exclusively,36,20,"White, Caucasian",No,No,Yes,No,No,No,Yes,No,No,,4-6 years,Four days a week,About 50%,8,6,-2,1,1,4
2135,CrossFit,Female,4-Attracted to men more than women,32,19,"White, Caucasian",No,Yes,Yes,Yes,No,No,Yes,No,Yes,,1-3 years,Five days a week,About 75%,6,5,-1,2,3,4
2136,CrossFit,Female,5-Attracted to men exclusively,34,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,4-6 years,Five days a week,About 50%,4,6,2,2,4,5
2137,CrossFit,Female,5-Attracted to men exclusively,32,22,"White, Caucasian",No,Yes,Yes,No,Yes,No,No,Yes,Yes,,Less than 1 year,Three days a week,About 50%,7,4,-3,1,2,2
2138,CrossFit,Female,5-Attracted to men exclusively,40,14,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,7-9 years,Four days a week,About 50%,4,2,-2,2,3,3
2139,CrossFit,Female,5-Attracted to men exclusively,33,16,"Black, African American",No,No,Yes,No,Yes,No,Yes,No,No,,4-6 years,Three days a week,About 75%,7,6,-1,1,3,3
2140,CrossFit,Female,4-Attracted to men more than women,28,20,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,4-6 years,Four days a week,About 75%,5,5,0,1,4,4
1000,Rock climbing,Female,5-Attracted to men exclusively,29,16,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,,7-9 years,Three days a week,About 25%,4,2,-2,2,3,3
